NOC,TotalNumberMedals,TotalGold,GoldSummer,GoldWinter,TotalSilver,SilverSummer,SilverWinter,TotalBronze,BronzeSummer,BronzeWinter
BOT,1,0,0,0,1,1,0,0,0,0
CYP,1,0,0,0,1,1,0,0,0,0
DJI,1,0,0,0,0,0,0,1,1,0
ERI,1,0,0,0,0,0,0,1,1,0
GAB,1,0,0,0,1,1,0,0,0,0
GUA,1,0,0,0,1,1,0,0,0,0
GUY,1,0,0,0,0,0,0,1,1,0
IRQ,1,0,0,0,0,0,0,1,1,0
JOR,1,1,1,0,0,0,0,0,0,0
KOS,1,1,1,0,0,0,0,0,0,0
MKD,1,0,0,0,0,0,0,1,1,0
NEP,1,1,0,1,0,0,0,0,0,0
SEN,1,0,0,0,1,1,0,0,0,0
SUD,1,0,0,0,1,1,0,0,0,0
TOG,1,0,0,0,0,0,0,1,1,0
AFG,2,0,0,0,0,0,0,2,2,0
BDI,2,1,1,0,1,1,0,0,0,0
ECU,2,1,1,0,1,1,0,0,0,0
KUW,2,0,0,0,0,0,0,2,2,0
MOZ,2,1,1,0,0,0,0,1,1,0
NIG,2,0,0,0,1,1,0,1,1,0
SRI,2,0,0,0,2,2,0,0,0,0
SUR,2,1,1,0,0,0,0,1,1,0
TAN,2,0,0,0,2,2,0,0,0,0
UAE,2,1,1,0,0,0,0,1,1,0
ZAM,2,0,0,0,1,1,0,1,1,0
BRN,3,1,1,0,1,1,0,1,1,0
CIV,3,1,1,0,1,1,0,1,1,0
KGZ,3,0,0,0,1,1,0,2,2,0
PAN,3,1,1,0,0,0,0,2,2,0
CRC,4,1,1,0,1,1,0,2,2,0
LIB,4,0,0,0,2,2,0,2,2,0
NAM,4,0,0,0,4,4,0,0,0,0
TJK,4,1,1,0,1,1,0,2,2,0
VNM,4,1,1,0,3,3,0,0,0,0
QAT,5,0,0,0,1,1,0,4,4,0
SYR,5,1,1,0,2,2,0,2,2,0
KSA,6,0,0,0,1,1,0,5,5,0
DOM,7,3,3,0,2,2,0,2,2,0
HAI,7,1,1,0,1,1,0,5,5,0
UGA,7,2,2,0,3,3,0,2,2,0
LUX,8,4,4,0,4,2,2,0,0,0
MDA,8,0,0,0,3,3,0,5,5,0
ISR,9,1,1,0,1,1,0,7,7,0
PUR,9,1,1,0,2,2,0,6,6,0
PHI,10,0,0,0,3,3,0,7,7,0
FIJ,13,13,13,0,0,0,0,0,0,0
TUN,13,3,3,0,3,3,0,7,7,0
MNE,14,0,0,0,14,14,0,0,0,0
PER,15,1,1,0,14,14,0,0,0,0
VEN,15,2,2,0,3,3,0,10,10,0
ARM,16,2,2,0,5,5,0,9,9,0
MAL,16,0,0,0,11,11,0,5,5,0
ALG,17,5,5,0,4,4,0,8,8,0
ISL,17,0,0,0,15,15,0,2,2,0
PAR,17,0,0,0,17,17,0,0,0,0
CMR,22,20,20,0,1,1,0,1,1,0
ZIM,22,17,17,0,4,4,0,1,1,0
GHA,23,0,0,0,1,1,0,22,22,0
MAR,23,6,6,0,5,5,0,12,12,0
MGL,26,2,2,0,10,10,0,14,14,0
EGY,27,7,7,0,8,8,0,12,12,0
COL,28,5,5,0,9,9,0,14,14,0
THA,30,9,9,0,8,8,0,13,13,0
CHI,32,3,3,0,9,9,0,20,20,0
GEO,32,8,8,0,6,6,0,18,18,0
UZB,34,10,9,1,7,7,0,17,17,0
IRL,35,9,9,0,13,13,0,13,13,0
LAT,35,3,3,0,19,11,8,13,6,7
TTO,37,7,7,0,8,8,0,22,22,0
BAH,40,14,14,0,11,11,0,15,15,0
INA,41,11,11,0,17,17,0,13,13,0
POR,41,4,4,0,11,11,0,26,26,0
AZE,44,7,7,0,12,12,0,25,25,0
SVK,47,15,13,2,19,17,2,13,12,1
SLO,48,8,6,2,13,9,4,27,15,12
TPE,49,3,3,0,28,28,0,18,18,0
EST,50,13,9,4,12,10,2,25,24,1
ETH,53,22,22,0,9,9,0,22,22,0
LTU,61,6,6,0,7,7,0,48,48,0
URU,63,31,31,0,2,2,0,30,30,0
PRK,67,16,16,0,16,15,1,35,34,1
IRI,68,18,18,0,21,21,0,29,29,0
KAZ,77,20,19,1,25,22,3,32,29,3
TUR,95,40,40,0,27,27,0,28,28,0
NGR,99,23,23,0,30,30,0,46,46,0
KEN,106,34,34,0,41,41,0,31,31,0
MEX,110,30,30,0,26,26,0,54,54,0
PAK,121,42,42,0,45,45,0,34,34,0
RSA,131,32,32,0,47,47,0,52,52,0
BLR,139,24,18,6,44,40,4,71,66,5
CRO,149,58,54,4,54,48,6,37,36,1
JAM,157,38,38,0,75,75,0,44,44,0
IND,197,138,131,7,19,19,0,40,40,0
UKR,199,47,42,5,52,51,1,100,95,5
NZL,228,90,90,0,56,55,1,82,82,0
GRE,255,62,62,0,109,109,0,84,84,0
ARG,274,91,91,0,92,92,0,91,91,0
BUL,342,54,53,1,144,142,2,144,141,3
CUB,409,164,164,0,129,129,0,116,116,0
AUT,450,108,29,79,186,88,98,156,53,103
BEL,468,98,96,2,197,193,4,173,166,7
BRA,475,109,109,0,175,175,0,191,191,0
ESP,489,110,109,1,243,243,0,136,135,1
SRB,539,157,157,0,222,216,6,160,159,1
POL,565,117,111,6,195,185,10,253,242,11
DEN,597,179,179,0,241,236,5,177,177,0
KOR,638,221,171,50,232,206,26,185,175,10
CZE,644,123,94,29,262,169,93,259,150,109
ROU,653,161,161,0,200,200,0,292,290,2
SUI,691,175,99,76,248,178,70,268,139,129
FIN,900,198,132,66,270,125,145,432,217,215
JPN,913,247,230,17,309,287,22,357,333,24
CHN,993,351,335,16,349,319,30,293,259,34
NOR,1033,378,227,151,361,196,165,294,167,127
NED,1040,287,245,42,340,302,38,413,371,42
HUN,1135,432,432,0,332,328,4,371,363,8
AUS,1349,368,362,6,459,456,3,522,515,7
CAN,1352,463,158,305,438,239,199,451,344,107
SWE,1536,479,354,125,522,396,126,535,358,177
ITA,1637,575,518,57,531,474,57,531,454,77
FRA,1777,501,465,36,610,575,35,666,587,79
GBR,2068,678,636,42,739,729,10,651,620,31
GER,3756,1301,1075,226,1195,987,208,1260,1064,196
RUS,3947,1599,1220,379,1170,974,196,1178,994,184
USA,5637,2638,2472,166,1641,1333,308,1358,1197,161
